"Avg Sequence Length","Number of Merges","_defaultColorIndex","id","name"
"15.833583208395803","54","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.819090454772613","55","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.805097451274364","56","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.792103948025987","57","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.779110444777611","58","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.766116941529235","59","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.75312343828086","60","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.74062968515742","61","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.728135932033982","62","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.71664167916042","63","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.705147426286857","64","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
